date,name,favorite,breakfast,prepare,body,happy,,,,
9-27-2014_16:12:33,Mona,getting away with anything,nothing....,in my mind,my smile,dance up and down,,,,
9-27-2014_16:14:58,dead student society,happiness,tears,by crying,MY HANDZ,,,,,
9-27-2014_16:17:39,BILL,PLAYING,EGGS,fried,brain,play games,,,,
9-27-2014_16:20:11,gabriele,my tree house,cereal and coffeee,i buy the coffeee,my hair ,played tennis,,,,
9-27-2014_16:21:54,sabina,playing on the swings,granola bar,i dont,my hair,i danced,,,,
9-27-2014_16:23:40,Amy,s;eeping,cereal,with milk,eyes,eating,,,,
9-27-2014_16:25:39,Mike,Playing basketball,Eggs,Over easy,on bread,My smile,Skated,,,
9-28-2014_12:6:48,lauren,eating,tacos,spicy,dimples,sweaty dancing,,,,
9-28-2014_12:9:2,Ella,Popcorn,Yogurt and gronola,In a bowl with a spoon,Clavicles,Smile,,,,
9-28-2014_12:11:50,elena,,cereal,with whole milk,back,sang,,,,
9-28-2014_12:14:58,Carlos,the Yankees,eggs,scrambled,my hair,have sex,,,,
9-28-2014_12:17:56,how are youhava,music,coffee,americano,face,talking with my son,,,,
9-28-2014_12:20:22,jaqueline,lolipop,coffe,machine,head,dance,,,,
9-28-2014_12:23:24,gracie,legos and toys,pancakes,on a griddle,nose,danced around,,,,
9-28-2014_12:27:42,Magnus,Soccer,cheerios,normal,my toe,jumped,,,,
9-28-2014_12:29:44,Michelle,books,toast,toasting,brain,write,,,,
